id,university,overall,archaeology,architecture,art-design,english-language-literature,history,linguistics,modern-languages,performing-arts,philosophy,theology-divinity-religion
100,"Trinity College Dublin, The University of Dublin",66.2,,,,,,,,,,
50,Brown University,79.1,73.3,,,78.3,75.5,,,,,
139,Chalmers University of Technology,,,,,,,,,,,
90,Rice University,,,,,,,,,,,
112,Yonsei University,75,,,,,,,79.7,,,
175,University of Reading,71,78.3,75.3,,,,,,,,
161,Texas A&M University,,,,,,,,,,,
70,University of Copenhagen,75.6,78,,,,,,,,73.7,74
178,École Normale Supérieure de Lyon,,,,,,,,,,,
152,University of Waterloo,,,,,,,,,,,
43,Fudan University,77.2,,,,,,,82.4,,,
38,London School of Economics and Political Science (LSE),86.5,,,,,91.6,,,,85.1,
123,Freie Universitaet Berlin,80,83.9,,,,77,,82,,70.8,
60,Technical University of Munich,,,77,,,,,,,,
125,The University of Adelaide,71.3,,,,,,,,,,
118,"University of California, Santa Barbara (UCSB)",67.5,,,,,,71.9,,,,
155,University of Vienna,69.7,,,,,,,,,,
196,Stockholm University,73.1,,,,,,,,,,
13,"Nanyang Technological University, Singapore (NTU)",77,,,71.6,,,71.2,,,,
46,The University of Sydney,86.4,80.4,81.5,71.1,85,82,74.9,82.2,,72.3,72.2
84,The University of Sheffield,70,80.1,76.9,,,,,,,,
98,Uppsala University,68.9,,,,,,,,,,
66,University of Illinois at Urbana-Champaign,70.9,,76.5,,,,74.7,,73.4,,
193,University of Cape Town,67.1,,,,,,,,,,
185,University of Florida,,,,,,,,,,,
145,University of Pittsburgh,68.4,,,,,,,,,95.9,
23,University of Michigan,80.7,83.1,73.5,,84.4,83.9,74.1,,,80.4,73.1
59,University of Washington,72.9,,,,,,,,,,
171,Hanyang University,66.1,,,,,,,,,,
187,University of Rochester,,,,,,,,,80.4,,
179,University of Bergen,,,,,,,,,,,
34,The University of Tokyo,87.3,77.8,81.3,,78.2,82.4,78,91,73.2,,
131,Ghent University,65.8,,,,,,,,,,
146,RWTH Aachen University,,,,,,,,,,,
45,University of British Columbia,81.3,76.1,78,,83.7,81.5,74.3,80.5,,73,
120,Universidade de São Paulo,69.7,,75.5,71.1,,,,,,,
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),,,78.3,,,,,,,,
19,The University of Edinburgh,85,74.8,,,88.9,81.5,86.2,83.6,,71.7,82.3
89,Boston University,75.2,76.2,,,,,,,,72.1,
150,Emory University,,,,,,,,,,,79.4
104,Utrecht University,68.2,,,,,76.2,,,,,73.5
49,The University of New South Wales (UNSW Sydney),80.1,,79.7,74.2,76.2,,,,,,
28,"University of California, Berkeley (UCB)",91,90,91.7,,95.7,93.5,85.1,93.1,80.6,86,85
86,"University of California, Davis",64.6,,,,,,,,,,
69,National Taiwan University (NTU),81.3,,,,,,72,82,,,
133,Universiti Malaya (UM),72.8,,,,,,,,,,
154,Université catholique de Louvain (UCL),71.6,,,,,,,,,72.8,84.5
101,"KIT, Karlsruhe Institute of Technology",,,,,,,,,,,
169,University of Otago,72.6,74.7,,,,,,,,,
56,Tokyo Institute of Technology,,,,,,,,,,,
122,Eindhoven University of Technology,,,72.7,,,,,,,,
79,KU Leuven,75.8,,73.1,,,,,,,73,87.2
75,Tohoku University,,,,,,,,,,,
177,University of Göttingen,67,,,,,,,,,,
7,UCL (University College London),85.8,94.1,95.7,,86.3,84.5,79.3,84.9,,,
3,Harvard University,97.5,91.3,88.9,,97.1,98.7,88.2,100,83.2,89.7,96.5
103,The University of Western Australia,71.2,,,,,,,,73.9,,
172,University of Virginia,72.7,,,,78.1,,,,,,72.6
143,University of Aberdeen,65,,,,,,,,,,77.9
99,Korea University,74.6,,,,,,,83,,,
10,University of Chicago,85.8,80.2,,,90.4,89.5,76.9,84.2,72.6,77.7,86.4
102,Leiden University,77.6,84.1,,,,83.7,,,,,76.2
176,University College Dublin,72.9,,,,77.3,,,,,,
41,University of Bristol,73.5,,,,77.6,,,,,,
91,University of Helsinki,73.6,,,,,,70.3,,,75.1,
36,The Hong Kong University of Science and Technology,68.9,,,,,,,,,,
135,Kyushu University,,,,,,,,,,,
183,Politecnico di Milano,,,82,85.3,,,,,,,
163,Albert-Ludwigs-Universitaet Freiburg,68.1,,,,,,,,,,
71,Georgia Institute of Technology,,,80.5,,,,,,,,
174,National Chiao Tung University,,,,,,,,,,,
39,Peking University,83.5,74.2,,72,79,76.9,81.5,90.9,,71.9,
137,University of Minnesota,67.3,,,,,,,,,,
65,Monash University,79.2,,,73.1,77.7,77.4,,,,,79.3
126,Université de Montréal,68.7,,,,,,,,,,
55,City University of Hong Kong,76.7,,,,,,75.3,,,,
173,Maastricht University,,,,,,,,,,,
95,Pennsylvania State University,73,73.7,,,,,,,,,
61,Shanghai Jiao Tong University,69.6,,,,,,,,,,
116,Nagoya University,,,,,,,,,,,
141,Université Pierre et Marie Curie (UPMC),,,,,,,,,,,
188,"University of Illinois, Chicago (UIC)",66.7,,,,,,,,,,
107,Washington University in St. Louis,,,,,,,,,,,
30,McGill University,79,,,,80.2,78.9,74.4,78.9,72,72.2,77.7
157,University of Liverpool,65.9,,,,,,,,,,
85,Universidad de Buenos Aires (UBA),69.6,,,74.3,,,,80.6,,,
170,University of Colorado Boulder,,,,,,,,,,,
138,University of Lausanne,,,,,,,,,,,
63,Osaka University,68.5,,,,,,,,,,
17,Johns Hopkins University,72.6,,,,78.2,81.7,,,,,
165,The University of Exeter,71.8,,,,77,,,,,,79.5
147,Pontificia Universidad Católica de Chile (UC),71.9,,75,71.9,,,,,,,77
159,University of Bath,,,,,,,,,,,
106,Sungkyunkwan University (SKKU),73.8,,,,,,,82.2,,,
42,The University of Melbourne,85.9,,80.3,74.8,84.3,81.1,75.7,80.7,76.9,,
153,Indian Institute of Science (IISc) Bangalore,,,,,,,,,,,
6,University of Oxford,98.3,97.4,,81.8,97.7,97.5,85.9,98,82.5,91.4,95.4
64,University of Glasgow,74.2,,,,76.6,,,,72.8,,
195,Queen's University Belfast,67.8,,,,,,,,,,
77,University of St Andrews,75.3,,,,,,,,,79.4,84
166,CentraleSupélec,,,,,,,,,,,
2,Stanford University,90.6,86.1,78.7,83.1,93,93.6,85.8,92.3,77.4,84,80.9
27,The University of Hong Kong,86.7,,84.7,,82.3,,81.5,85.8,72.4,,
24,Tsinghua University,78.6,,84.2,75.5,,,,81.8,,,
184,Vienna University of Technology,,,,,,,,,,,
78,"University of North Carolina, Chapel Hill",73.2,,,,,76.9,,,,76.5,
8,ETH Zurich - Swiss Federal Institute of Technology,72.4,,89.8,,,,,,,,
68,Ludwig-Maximilians-Universität München,76.3,,,,,75.2,,,,81.9,73.2
199,Vrije Universiteit Amsterdam,65.1,73.2,,,,,,,,,87.7
186,Indian Institute of Technology Delhi (IITD),,,,,,,,,,,
124,Queen Mary University of London,71.9,,,,80.1,75.6,,,76.1,,
111,The Hong Kong Polytechnic University,71.3,,81.5,75,,,73.8,,,,
198,The University of Western Ontario,65.2,,,,,,,,,69.7,
88,The Ohio State University,68.8,,,,,,77.1,,,,
51,The University of Queensland,77,74.4,72.6,,,,,,,,
108,Lomonosov Moscow State University,74.3,,,,,,80.2,79.3,,,
47,New York University (NYU),86.9,,,77.4,86.9,79.6,76.5,83.7,80.7,91.3,
94,University of Alberta,68.7,73.7,,,,,,,,,
144,Erasmus University Rotterdam,,,,,,,,,,,
142,University of Basel,,,,,,,,,,,
149,McMaster University,,,,,,,,,,,
119,Wageningen University,,,,,,,,,,,
182,Vrije Universiteit Brussel (VUB),,,,,,,,,,,
194,University of Technology Sydney,69.2,,,74.6,,,,,,,
136,University of Southern California,73.6,,,,,,,,,,
115,Nanjing University,66.2,,,,,,,,,,
20,Columbia University,87.9,73.5,83,78.1,89.9,90.6,,86.8,75.6,81,72.5
191,Radboud University,,,,,,,,,,,72.9
113,University of Oslo,71.5,,,,,,,,,,73.8
53,University of Wisconsin-Madison,73.8,,,,77.7,85.5,,,,,
127,University of York,74.7,83.6,,,83.1,,,,,,
167,Eberhard Karls Universität Tübingen,72.3,80.8,,,,,,,,,85.5
110,Zhejiang University,67,,,,,,,,,,
160,Universitat de Barcelona,69.1,75.6,,,,,,,,71.1,
134,Aalto University,,,,81.4,,,,,,,
52,The University of Warwick,79.6,,,,85.2,80.1,,78.6,,,
96,University of Geneva,68.1,,,,,,,,,72.1,
11,Princeton University,88.9,,77,70.2,90.3,91.1,,85.3,74.5,86.9,87.2
190,King Fahd University of Petroleum & Minerals,,,,,,,,,,,
114,University of Groningen,68.1,75.8,,,,,,,,,
162,Michigan State University,66.7,,,,,,,,,,
81,The University of Auckland,82.1,81,,,80.8,,69.8,79.7,,,
97,KTH Royal Institute of Technology,,,78.7,,,,,,,,
15,Yale University,89.8,79,72.5,81.6,93.7,92.3,71.5,89.8,80.6,84.9,88.5
58,Carnegie Mellon University,69.7,,,81.1,,,,,,,
12,National University of Singapore (NUS),85.7,,86.9,72.5,85.4,79.8,79.1,84.7,72.5,,
31,"University of California, Los Angeles (UCLA)",87.6,84.3,82.2,79.3,89.9,88.9,83.7,88.7,78.1,78.9,80.9
156,"University of California, Irvine",66.7,,,,,,,,,,
189,University of Sussex,66.5,,,,,,,,,,
180,University of Twente,,,,,,,,,,,
105,University of Science and Technology of China,,,,,,,,,,,
29,The University of Manchester,77.9,,,,82.5,80.7,72.7,82.9,73.2,,76.5
92,Purdue University,,,,,,,,,,,
148,The Hebrew University of Jerusalem,,,,,,,,,,,79.7
44,The Chinese University of Hong Kong (CUHK),81,,,,,,75.5,80.7,,73,
128,Universidad Nacional Autónoma de México (UNAM),73,73.6,,76.4,,,,82.9,,70.4,
18,University of Pennsylvania,80.6,80.5,76.8,,84.2,83.1,81.4,78.9,,,
192,Universidade Estadual de Campinas (Unicamp),,,,,,,,,,,
74,Durham University,78.3,91.8,,,78.4,78.1,,,,,93.8
129,Lancaster University,70.9,,,,,,77.4,,,,75.6
57,University of Amsterdam,76.9,,,,77.2,78,79,81.2,71.9,71.5,72.8
67,University of Texas at Austin,78,81.5,73.9,,79.6,81.2,73.3,,,,
26,Northwestern University,72.3,,,,,76.5,,,79.6,,72.1
40,"University of California, San Diego (UCSD)",72.3,,,,,,73,,,69.7,
22,The Australian National University,87.4,82.7,,69.3,82.3,85.1,74.4,82.3,,78.5,
117,Aarhus University,72.3,79.4,,,,,,,,,
132,"University of Maryland, College Park",66.2,,,,,,80.1,,,,
80,University of Zurich,72.2,,,,,,,,,,
54,Ecole Polytechnique,,,,,,,,,,,
83,Pohang University of Science And Technology (POSTECH),,,,,,,,,,,
48,KAIST - Korea Advanced Institute of Science & Technology,,,,,,,,,,,
33,"Ecole normale supérieure, Paris",69.7,,,,,,,,,69.7,
140,Cardiff University,68.4,,74.9,,,,,,,,
37,Kyoto University,81.7,,75,,,79.7,,85.6,,,
151,National Tsing Hua University,68.4,,,,,,,,,,
82,University of Birmingham,74.6,,,,77.9,,70.4,,,,75.1
197,University of Calgary,,,,,,,,,,,
62,Delft University of Technology,69,,92,,,,,,,,
35,Seoul National University,81.5,,75.7,74.6,,75.8,73.8,86.7,,,
9,Imperial College London,69.6,,,,,,,,,,
200,Universidad de Chile,67.8,,,,,,,,,,
16,Cornell University,80.8,,79.8,71.1,84.9,80.7,69.9,80.5,,70.7,
168,Newcastle University,66.4,,,,,,,,,,
76,The University of Nottingham,71.4,,,,76.2,,,,,,
73,Lund University,68.8,,,,,,,,,,
25,Duke University,79.1,,,,85.2,81.3,,,,,87.5
130,Hokkaido University,,,,,,,,,,,
93,University of Leeds,75.4,,,,78,,,,,,
164,Technische Universität Berlin (TU Berlin),,,73.8,,,,,,,,
1,Massachusetts Institute of Technology (MIT),86.1,,98,92.1,80.8,76.8,99.3,86.6,73.4,80.4,
87,University of Southampton,65,78.1,,,,,,,71.7,,
181,University of Bern,,,,,,,,,,,
5,California Institute of Technology (Caltech),64.5,,,,,,,,,,
32,University of Toronto,85.8,78.5,74.9,,88.5,85.7,76.7,83.4,,79.8,86.6
158,Dartmouth College,66,,,,,,,,,,
121,Humboldt-Universität zu Berlin,80.5,,,,,81.4,73.9,83.4,,81,74.3
72,Ruprecht-Karls-Universität Heidelberg,74.2,76.5,,,,,,78.9,,72.2,85.5
109,Technical University of Denmark,,,,,,,,,,,
4,University of Cambridge,97.6,96.5,87.5,,97.5,97,86.9,98.2,83,88.4,93.2
21,King's College London,82.7,,,,82.9,82.8,,78.7,79.5,76.7,76.2
