id,university,overall,chemical,civil-structural,computer-information,electrical-electronic,mechanical-aeronautical-manufacturing,mineral-mining
100,"Trinity College Dublin, The University of Dublin",71.6,,,,,,
50,Brown University,72.6,,,,,,
139,Chalmers University of Technology,76,,,,,,
90,Rice University,70.9,,,,,,
112,Yonsei University,78.9,,78.2,,,,
175,University of Reading,,,,,,,
161,Texas A&M University,75.6,,79.2,,,78.9,
70,University of Copenhagen,73,,,,,,61.6
178,École Normale Supérieure de Lyon,,,,,,,
152,University of Waterloo,79.8,,,79.9,,,
43,Fudan University,81.4,,,,,78.1,
38,London School of Economics and Political Science (LSE),,,,,,,
123,Freie Universitaet Berlin,,,,,,,
60,Technical University of Munich,85.2,,77.7,77.2,81,80.4,
125,The University of Adelaide,73.3,,,,,,67.6
118,"University of California, Santa Barbara (UCSB)",72.7,77.7,,,,,
155,University of Vienna,,,,,,,
196,Stockholm University,69.9,,,,,,
13,"Nanyang Technological University, Singapore (NTU)",93.1,85.7,83.7,81.3,90.3,88,
46,The University of Sydney,82.1,,84.1,76.4,,,
84,The University of Sheffield,73.2,,77.2,,,,
98,Uppsala University,70.4,,,,,,
66,University of Illinois at Urbana-Champaign,82.2,,84.9,80.2,84.9,82.4,62.8
193,University of Cape Town,,,,,,,
185,University of Florida,70.7,,,,,,
145,University of Pittsburgh,,,,,,,
23,University of Michigan,81.3,78.9,82,75.3,83.6,90.9,
59,University of Washington,77.3,,,81.8,,,
171,Hanyang University,77.2,,78.3,,,,
187,University of Rochester,,,,,,,
179,University of Bergen,,,,,,,
34,The University of Tokyo,90.9,89,86.5,81.7,88.1,89.4,
131,Ghent University,72.8,,,,,,
146,RWTH Aachen University,83.4,,,,,82.8,70.4
45,University of British Columbia,80.6,77.7,81,80.8,78.8,,73.1
120,Universidade de São Paulo,70.6,,,,,,66.2
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),90.3,78.1,83.5,80.7,87.8,80,
19,The University of Edinburgh,79.5,,,81.1,,,
89,Boston University,70.9,,,,,,
150,Emory University,,,,,,,
104,Utrecht University,,,,,,,
49,The University of New South Wales (UNSW Sydney),83.5,79.6,85.2,76.5,78.6,78.1,73.4
28,"University of California, Berkeley (UCB)",91.5,93.6,92.2,89.9,93.1,91.4,
86,"University of California, Davis",72.6,,,,,,
69,National Taiwan University (NTU),85.4,78,80.4,76.7,83.1,78.7,
133,Universiti Malaya (UM),82.8,79.1,,,83.7,80.6,
154,Université catholique de Louvain (UCL),73.3,,,,,,
101,"KIT, Karlsruhe Institute of Technology",82.2,,,,,,
169,University of Otago,,,,,,,
56,Tokyo Institute of Technology,87,84.6,78.3,,84.6,81.4,
122,Eindhoven University of Technology,77,,,,,,
79,KU Leuven,80,,,,,,
75,Tohoku University,79.7,79.9,,,,80.9,
177,University of Göttingen,,,,,,,
7,UCL (University College London),80.6,79.7,,78.9,,,
3,Harvard University,89.4,,,88.4,89.8,91.4,
103,The University of Western Australia,73.6,,77.7,,,,71.1
172,University of Virginia,,,,,,,
143,University of Aberdeen,,,,,,,58.5
99,Korea University,79.2,78.2,,,,,
10,University of Chicago,73.5,,,,,,
102,Leiden University,,,,,,,
176,University College Dublin,75.1,,,,,,
41,University of Bristol,74.5,,,,,,
91,University of Helsinki,,,,,,,
36,The Hong Kong University of Science and Technology,87.7,81.6,82.3,81.4,82.8,82.9,
135,Kyushu University,76.1,,,,,,66.4
183,Politecnico di Milano,85.2,,86.1,74.6,78.3,81.5,
163,Albert-Ludwigs-Universitaet Freiburg,,,,,,,
71,Georgia Institute of Technology,87.6,85.2,85.1,80.4,87.6,87.8,
174,National Chiao Tung University,78.9,,,,80.3,,
39,Peking University,87,,,81.8,83.8,84.1,
137,University of Minnesota,72.6,85.7,,,,,
65,Monash University,81.7,81.8,81.3,,,,
126,Université de Montréal,71.4,,,,,,
55,City University of Hong Kong,78.4,,78,,,,
173,Maastricht University,,,,,,,
95,Pennsylvania State University,77.1,,,,,,73.9
61,Shanghai Jiao Tong University,85.2,78,80.5,75.7,81.3,81.6,
116,Nagoya University,75,,,,,,
141,Université Pierre et Marie Curie (UPMC),71.3,,,,,,
188,"University of Illinois, Chicago (UIC)",,,,,,,
107,Washington University in St. Louis,,,,,,,
30,McGill University,79.6,77.8,,,,78.9,73.1
157,University of Liverpool,,,,,,,58.5
85,Universidad de Buenos Aires (UBA),,,,,,,
170,University of Colorado Boulder,70.2,,,,,,
138,University of Lausanne,,,,,,,
63,Osaka University,80.3,80.7,,,,,
17,Johns Hopkins University,72.2,,,,,,
165,The University of Exeter,,,,,,,59.3
147,Pontificia Universidad Católica de Chile (UC),,,,,,,
159,University of Bath,70.7,,,,,,
106,Sungkyunkwan University (SKKU),79.6,77.7,,,,77.8,
42,The University of Melbourne,84.5,81,82.4,82.3,81.5,78.5,70.1
153,Indian Institute of Science (IISc) Bangalore,75.1,,,,,,
6,University of Oxford,91.3,89.7,86.4,87.8,89.2,89.8,
64,University of Glasgow,71.2,,,,,,
195,Queen's University Belfast,69.7,,,,,,
77,University of St Andrews,,,,,,,
166,CentraleSupélec,78.1,,,,,,
2,Stanford University,95.6,95.3,89.3,93.6,95.7,95.6,
27,The University of Hong Kong,84.8,,87.5,80.7,81.8,78.8,
24,Tsinghua University,91.2,88.2,89.7,82.2,90,88.4,
184,Vienna University of Technology,74.5,,,,,,
78,"University of North Carolina, Chapel Hill",69.7,,,,,,
8,ETH Zurich - Swiss Federal Institute of Technology,93,87.2,86.8,85.4,89.4,86,
68,Ludwig-Maximilians-Universität München,72,,,,,,
199,Vrije Universiteit Amsterdam,,,,,,,
186,Indian Institute of Technology Delhi (IITD),78.8,,,,78.4,,
124,Queen Mary University of London,69.6,,,,,,
111,The Hong Kong Polytechnic University,81.1,,86.8,,,,
198,The University of Western Ontario,,,,,,,
88,The Ohio State University,71.3,,,,,,
51,The University of Queensland,79.8,80,,,,,78.3
108,Lomonosov Moscow State University,74.5,,,74.7,,,
47,New York University (NYU),73,,,79.7,,,
94,University of Alberta,72.5,,,,,,68.3
144,Erasmus University Rotterdam,,,,,,,
142,University of Basel,,,,,,,
149,McMaster University,69.9,,,,,,
119,Wageningen University,,,,,,,
182,Vrije Universiteit Brussel (VUB),,,,,,,
194,University of Technology Sydney,74.1,,,,,,
136,University of Southern California,72.9,,,74.5,78.7,,
115,Nanjing University,75.5,,,,,,59.4
20,Columbia University,79.2,,,80.3,81.9,,
191,Radboud University,,,,,,,
113,University of Oslo,,,,,,,
53,University of Wisconsin-Madison,76.9,86.6,,,,,
127,University of York,,,,,,,
167,Eberhard Karls Universität Tübingen,,,,,,,
110,Zhejiang University,81.9,,,,78.7,,
160,Universitat de Barcelona,74,,,,,,
134,Aalto University,71.6,,,,,,
52,The University of Warwick,73.5,,,,,,
96,University of Geneva,,,,,,,
11,Princeton University,82.5,88,,85.6,83.1,80.5,
190,King Fahd University of Petroleum & Minerals,69.8,,,,,,66.9
114,University of Groningen,,,,,,,
162,Michigan State University,71.2,,,,,,
81,The University of Auckland,78.9,,79.2,,,,
97,KTH Royal Institute of Technology,84,,78.9,,83.3,78.9,
15,Yale University,78.4,83.9,,79.3,,,
58,Carnegie Mellon University,83.5,,,91.9,83.7,78.1,
12,National University of Singapore (NUS),91.6,89.4,89.7,84.2,88.7,87.3,
31,"University of California, Los Angeles (UCLA)",83.6,85.3,79.1,83.1,92.1,84.9,
156,"University of California, Irvine",,,,,,,
189,University of Sussex,,,,,,,
180,University of Twente,,,,,,,
105,University of Science and Technology of China,77.8,,,,,,
29,The University of Manchester,80.4,82.6,80,,,,
92,Purdue University,80.1,81,81.9,,80.7,84.7,
148,The Hebrew University of Jerusalem,,,,,,,
44,The Chinese University of Hong Kong (CUHK),81.2,,,79.2,81.9,,
128,Universidad Nacional Autónoma de México (UNAM),69.8,,,,,,69
18,University of Pennsylvania,78.6,78.6,,77.9,,,
192,Universidade Estadual de Campinas (Unicamp),,,,,,,
74,Durham University,,,,,,,
129,Lancaster University,,,,,,,
57,University of Amsterdam,73,,,,,,
67,University of Texas at Austin,81.7,84.2,84.2,80.6,83.9,81.6,
26,Northwestern University,77.8,82.7,,,,79.5,
40,"University of California, San Diego (UCSD)",76.6,,,76.3,81.2,,
22,The Australian National University,81.6,,,79.1,79.7,,
117,Aarhus University,75.2,,,,,,
132,"University of Maryland, College Park",70.6,,,75,,,
80,University of Zurich,69.9,,,,,,
54,Ecole Polytechnique,78.7,,,,,,
83,Pohang University of Science And Technology (POSTECH),80.5,78.6,,,,78,
48,KAIST - Korea Advanced Institute of Science & Technology,88.6,86,85.6,79.5,86.1,86,
33,"Ecole normale supérieure, Paris",,,,,,,
140,Cardiff University,69.8,,,,,,
37,Kyoto University,85.9,90.5,85,,,83.4,
151,National Tsing Hua University,82.2,,,,82.5,79,
82,University of Birmingham,76,,,,,,58.1
197,University of Calgary,,,,,,,
62,Delft University of Technology,86.9,82.7,89.3,,81.1,85.3,
35,Seoul National University,86.8,85.9,83.4,78.2,84.5,85.9,
9,Imperial College London,92.8,89.2,91.4,83.7,89.7,89.1,
200,Universidad de Chile,,,,,,,72.7
16,Cornell University,81.4,82.4,,81.1,81.1,81.9,
168,Newcastle University,,,,,,,
76,The University of Nottingham,74,,,,,,
73,Lund University,74.8,,,,,,
25,Duke University,74.3,,,,,,
130,Hokkaido University,76.4,,,,,,
93,University of Leeds,74.4,,,,,,
164,Technische Universität Berlin (TU Berlin),82.8,,,,,,
1,Massachusetts Institute of Technology (MIT),96.9,98.5,94.7,94,98.1,97.6,
87,University of Southampton,75.4,,,,,,59.5
181,University of Bern,,,,,,,
5,California Institute of Technology (Caltech),87.4,90.7,,80.5,87.7,87,
32,University of Toronto,83.3,79.9,80.6,84.2,82.5,80.8,68.4
158,Dartmouth College,,,,,,,
121,Humboldt-Universität zu Berlin,71.6,,,,,,
72,Ruprecht-Karls-Universität Heidelberg,,,,,,,
109,Technical University of Denmark,81.8,,77.9,,,,
4,University of Cambridge,94.4,92.2,92.2,88.9,91.8,93.1,
21,King's College London,72.8,,,,,,
