id,university,overall,chemistry,earth-marine,environmental,geography,materials,mathematics,physics-astronomy
100,"Trinity College Dublin, The University of Dublin",,,,,,,,
50,Brown University,77.2,,,,,,81.4,
139,Chalmers University of Technology,73.1,,,,,,,
90,Rice University,77.6,,,,,79.2,,
112,Yonsei University,78.4,,,,,,,
175,University of Reading,,,,,,,,
161,Texas A&M University,78.8,,83,83.5,,,,
70,University of Copenhagen,83,,82.1,,,,,
178,École Normale Supérieure de Lyon,,,,,,,,
152,University of Waterloo,78,,,,,,82.2,
43,Fudan University,83.7,83.1,,,,84.3,,
38,London School of Economics and Political Science (LSE),,,,,94.7,,,
123,Freie Universitaet Berlin,77.4,,,,,,,
60,Technical University of Munich,87.5,83.6,,,,,,85.5
125,The University of Adelaide,76.4,,,,,,,
118,"University of California, Santa Barbara (UCSB)",83.4,,82.5,85,,82.8,,85.3
155,University of Vienna,74.8,,,,,,,
196,Stockholm University,81,,,84.4,79.1,,,
13,"Nanyang Technological University, Singapore (NTU)",87.8,88.1,,88,,90.5,80.6,80.7
46,The University of Sydney,84.5,79.8,,,83.7,,80.1,
84,The University of Sheffield,73.5,,,,78.5,,,
98,Uppsala University,76.4,,,,,,,
66,University of Illinois at Urbana-Champaign,82.9,82.9,,83.8,,86.3,,84.3
193,University of Cape Town,,,,,75.1,,,
185,University of Florida,77,,,,,,,
145,University of Pittsburgh,,,,,,,,
23,University of Michigan,82.4,81.3,,86.6,,82,85.5,81.3
59,University of Washington,84,,91.4,88.9,85,,,
171,Hanyang University,,,,,,,,
187,University of Rochester,,,,,,,,
179,University of Bergen,,,83.1,,,,,
34,The University of Tokyo,92.4,90.2,88.6,87.4,83.4,87.4,86.1,91.6
131,Ghent University,75.3,,,,,,,
146,RWTH Aachen University,86.4,80.8,,,,82.1,,81.8
45,University of British Columbia,84.6,80.3,87.9,91.6,93.1,,84.1,82.1
120,Universidade de São Paulo,75.3,,,,,,,
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),91,85.4,,84.9,,88.7,84.7,86.9
19,The University of Edinburgh,82.7,,86.6,,84.5,,,
89,Boston University,78.8,,,,,,,
150,Emory University,,,,,,,,
104,Utrecht University,76.7,,88,,78.3,,,
49,The University of New South Wales (UNSW Sydney),79.3,,82.2,89.4,,81.7,,
28,"University of California, Berkeley (UCB)",93.9,96.7,94.5,95.9,93.2,91.8,94.8,95.4
86,"University of California, Davis",78.6,,85,89.7,,,,
69,National Taiwan University (NTU),86.2,81.6,82.1,84.1,,80.5,,81.4
133,Universiti Malaya (UM),73.3,,,,,,,
154,Université catholique de Louvain (UCL),75.8,,,,,,,
101,"KIT, Karlsruhe Institute of Technology",85.6,,,,,78.8,,82.9
169,University of Otago,,,,,,,,
56,Tokyo Institute of Technology,86.6,82.5,,,,83.3,,84.1
122,Eindhoven University of Technology,73.4,,,,,,,
79,KU Leuven,77.4,,,,77.8,,,
75,Tohoku University,84.5,80.2,,,,84.8,,82.9
177,University of Göttingen,78.8,,,,,,,
7,UCL (University College London),81.9,80.4,84.6,83.4,90.2,,,80.8
3,Harvard University,96,95.2,94.7,94.3,,91.3,98,97.4
103,The University of Western Australia,76.1,,82.1,,,,,
172,University of Virginia,,,,,,,,
143,University of Aberdeen,,,,,,,,
99,Korea University,81.3,,,,,,,
10,University of Chicago,87.3,80.1,82.1,,81,,87.3,87.3
102,Leiden University,75.3,,,,,,,
176,University College Dublin,76.3,,,,,,,
41,University of Bristol,81.6,,87.9,,80.7,,,
91,University of Helsinki,78.9,,,,74.6,,,
36,The Hong Kong University of Science and Technology,83.9,83.3,,,,84.7,80.6,
135,Kyushu University,78.8,,,,,,,
183,Politecnico di Milano,77.4,,,,,,,
163,Albert-Ludwigs-Universitaet Freiburg,75,,,,,,,
71,Georgia Institute of Technology,82.5,83.2,,84.5,,87.6,83.4,
174,National Chiao Tung University,74.6,,,,,,,
39,Peking University,89.2,89.2,84.2,86.7,81.8,87.3,85.2,85.6
137,University of Minnesota,78.7,,,83.4,80.3,,,
65,Monash University,79.9,80.2,,83.4,80.5,,,
126,Université de Montréal,74.9,,,,,,,
55,City University of Hong Kong,74.6,,,,,,80,
173,Maastricht University,,,,,,,,
95,Pennsylvania State University,79.8,,84.3,83.5,77.6,81.7,,
61,Shanghai Jiao Tong University,80.2,80,,,,83.7,,
116,Nagoya University,82.8,,,,,,,80.3
141,Université Pierre et Marie Curie (UPMC),82.6,,,,,,,
188,"University of Illinois, Chicago (UIC)",,,,,,,,
107,Washington University in St. Louis,,,,,,,,
30,McGill University,83.1,81.4,84,86.9,81.2,79.8,,81.2
157,University of Liverpool,76,,,,,,,
85,Universidad de Buenos Aires (UBA),73,,,,,,,
170,University of Colorado Boulder,80.9,,86.4,,,,,
138,University of Lausanne,,,,,,,,
63,Osaka University,84.4,83.5,,,,80.3,,82.5
17,Johns Hopkins University,80.2,,,,,,,
165,The University of Exeter,,,,,84.2,,,
147,Pontificia Universidad Católica de Chile (UC),,,,,,,,
159,University of Bath,,,,,,,,
106,Sungkyunkwan University (SKKU),81.2,,,,,80.7,,
42,The University of Melbourne,85.6,80.2,83.6,88.5,82.2,,81.4,80.6
153,Indian Institute of Science (IISc) Bangalore,77,,,,,,,
6,University of Oxford,95.9,94.4,94.5,94.3,97.7,91.2,96,95.2
64,University of Glasgow,76.4,,,,80.5,,,
195,Queen's University Belfast,,,,,,,,
77,University of St Andrews,74.5,,,,,,,
166,CentraleSupélec,,,,,,,,
2,Stanford University,96,95.5,92.2,95.7,,95.3,96.7,97
27,The University of Hong Kong,87,83.2,86.1,,83.6,,83.6,
24,Tsinghua University,88,87.5,,88.1,,89.6,83.9,84.7
184,Vienna University of Technology,75.7,,,,,,,
78,"University of North Carolina, Chapel Hill",74,81.5,,,79.2,,,
8,ETH Zurich - Swiss Federal Institute of Technology,95,89.6,95,93.6,,85.4,91.7,91.4
68,Ludwig-Maximilians-Universität München,85,,,,,,,86.1
199,Vrije Universiteit Amsterdam,,,,,,,,
186,Indian Institute of Technology Delhi (IITD),,,,,,,,
124,Queen Mary University of London,73.1,,,,,,,
111,The Hong Kong Polytechnic University,74.8,,,,,,,
198,The University of Western Ontario,,,,,,,,
88,The Ohio State University,76.7,,,,79.9,,,
51,The University of Queensland,80.5,,,91.2,79.2,,,
108,Lomonosov Moscow State University,84,,,,,,82.4,85.4
47,New York University (NYU),78,,,,,,88.9,
94,University of Alberta,76.1,,,,,,,
144,Erasmus University Rotterdam,,,,,,,,
142,University of Basel,,,,,,,,
149,McMaster University,,,,,,,,
119,Wageningen University,73.6,,,93.6,,,,
182,Vrije Universiteit Brussel (VUB),,,,,,,,
194,University of Technology Sydney,,,,,,,,
136,University of Southern California,,,,,,,,
115,Nanjing University,81.1,,,,,,,
20,Columbia University,85.6,80.8,91.8,84.7,,,86.2,85.5
191,Radboud University,,,,,,,,
113,University of Oslo,75.2,,,,,,,
53,University of Wisconsin-Madison,82.5,,82.1,85.6,84.6,,79.6,
127,University of York,,,,,,,,
167,Eberhard Karls Universität Tübingen,73.4,,,,,,,
110,Zhejiang University,78.7,,,,,,,
160,Universitat de Barcelona,80.4,,,,,,,
134,Aalto University,,,,,,,,
52,The University of Warwick,78.1,,,,,,81.3,
96,University of Geneva,80,,,,,,,
11,Princeton University,89.8,84.2,88.3,86.5,,,94,92.2
190,King Fahd University of Petroleum & Minerals,,,,,,,,
114,University of Groningen,73.1,,,,,,,
162,Michigan State University,74.6,,,,,,,
81,The University of Auckland,78.3,,,,80.2,,,
97,KTH Royal Institute of Technology,79.1,,,,,81.2,,
15,Yale University,86.6,85.5,86.7,89.7,,,86.5,86.9
58,Carnegie Mellon University,79.7,,,,,82.6,84,
12,National University of Singapore (NUS),90.6,92.3,,92.2,87,89.8,86.5,84.3
31,"University of California, Los Angeles (UCLA)",87.3,90.3,89.3,89.2,90.8,86.6,90.4,88.4
156,"University of California, Irvine",76.4,,,,,,,
189,University of Sussex,,,,,,,,
180,University of Twente,,,,,,,,
105,University of Science and Technology of China,82.8,,,,,79.6,,
29,The University of Manchester,83.1,81.2,,,82.9,82,,81.1
92,Purdue University,82,81.2,,,,80.4,,
148,The Hebrew University of Jerusalem,,,,,,,,
44,The Chinese University of Hong Kong (CUHK),78,,,,79.8,,81.8,
128,Universidad Nacional Autónoma de México (UNAM),73,,,,,,,
18,University of Pennsylvania,80.8,,,,,80.2,82.1,
192,Universidade Estadual de Campinas (Unicamp),,,,,,,,
74,Durham University,80.6,,86.5,,90.5,,,
129,Lancaster University,,,,,,,,
57,University of Amsterdam,78,,,,83.9,,,
67,University of Texas at Austin,82,84.3,86.6,85.2,,84.1,84.1,80.9
26,Northwestern University,83.3,89.2,,,,89.1,,
40,"University of California, San Diego (UCSD)",82.9,80.6,89.1,,,,82.9,
22,The Australian National University,84.4,,89,87.9,87.4,,83.7,
117,Aarhus University,79.4,,,,,,,
132,"University of Maryland, College Park",80.2,,,,,,,81.1
80,University of Zurich,82.2,,,,,,,
54,Ecole Polytechnique,84.9,,,,,,84.1,84.2
83,Pohang University of Science And Technology (POSTECH),78.9,,,,,82.2,,
48,KAIST - Korea Advanced Institute of Science & Technology,85,86.4,,,,88,79.8,80.8
33,"Ecole normale supérieure, Paris",78.1,,,,,,82.8,
140,Cardiff University,,,,,,,,
37,Kyoto University,89.1,88.2,82.9,83.6,,84.2,83,86.1
151,National Tsing Hua University,81.1,,,,,79,,
82,University of Birmingham,77.8,,,,,,,
197,University of Calgary,,,,,,,,
62,Delft University of Technology,79.7,,84,88.8,,82.1,,
35,Seoul National University,86.8,86.2,,85.4,74.9,86.6,81.1,83.2
9,Imperial College London,91.8,89.1,86.3,92.2,,88.5,88.2,89.8
200,Universidad de Chile,,,,,,,,
16,Cornell University,86,81.5,,88.5,,82.7,81.7,84.8
168,Newcastle University,,,,,74.3,,,
76,The University of Nottingham,74.5,,,,76,,,
73,Lund University,79.1,,,84.5,81.4,,,
25,Duke University,80.1,,,86.5,,,,
130,Hokkaido University,77.6,,,,,,,
93,University of Leeds,77,,87.9,,82.1,,,
164,Technische Universität Berlin (TU Berlin),80.5,,,,,,79.5,
1,Massachusetts Institute of Technology (MIT),97.4,98,93.7,95.1,,97.4,98.1,98.9
87,University of Southampton,77.8,,84.4,,,,,
181,University of Bern,75.8,,,,,,,
5,California Institute of Technology (Caltech),92.6,90.4,93,88.5,,85.9,87.4,93.2
32,University of Toronto,86.9,85.5,88.8,85.8,87.5,78.8,86.2,84.3
158,Dartmouth College,,,,,,,,
121,Humboldt-Universität zu Berlin,79.3,,,,80.7,,,
72,Ruprecht-Karls-Universität Heidelberg,83,,,,,,,81.9
109,Technical University of Denmark,77.8,,,84,,,,
4,University of Cambridge,96.3,96.2,93.2,93.6,95.1,91.6,95.8,95.9
21,King's College London,73.8,,,,83.4,,,
